User_ID,First_Name,Last_Name,Username,Password,Email,Address,NIC,Mobile,Registered_Date

1002,Michael,Johnson,Mjohnson,password3,michael.johnson@example.com,789 Pine Road,NIC456789,456789123,6/15/2024
1003,Emily,Jones,Ejones,password4,emily.jones@example.com,101 Maple Street,NIC123789,321654987,6/16/2024
1004,Chris,Brown,Cbrown,password5,chris.brown@example.com,202 Oak Avenue,NIC987654,654321987,6/17/2024
1005,Ashley,Davis,Adavis,password6,ashley.davis@example.com,303 Pine Road,NIC456123,789123456,6/18/2024
1006,David,Miller,Dmiller,password7,david.miller@example.com,404 Birch Lane,NIC789456,123987654,6/19/2024
1007,Sarah,Wilson,Swilson,password8,sarah.wilson@example.com,505 Elm Street,NIC654123,456123789,6/20/2024
1008,Daniel,Moore,Dmoore,password9,daniel.moore@example.com,606 Cedar Avenue,NIC321456,789654321,6/21/2024
1009,Amanda,Taylor,Ataylor,password10,amanda.taylor@example.com,707 Spruce Road,NIC987123,123654789,6/22/2024
1010,Matthew,Anderson,Manderson,password11,matthew.anderson@example.com,808 Willow Street,NIC456987,456789654,6/23/2024
1011,Megan,Thomas,Mthomas,password12,megan.thomas@example.com,909 Pine Avenue,NIC123987,789321456,6/24/2024
1012,Andrew,Jackson,Ajackson,password13,andrew.jackson@example.com,111 Maple Road,NIC987321,321456123,6/25/2024
1013,Laura,White,Lwhite,password14,laura.white@example.com,222 Oak Lane,NIC654789,654321123,6/26/2024
1014,Joshua,Harris,Jharris,password15,joshua.harris@example.com,333 Pine Street,NIC123654,987654123,6/27/2024
1015,Elizabeth,Martinez,Emartinez,password16,elizabeth.martinez@example.com,444 Birch Avenue,NIC456321,321789654,6/28/2024
1016,Justin,Clark,Jclark,password17,justin.clark@example.com,555 Elm Road,NIC789654,654123987,6/29/2024
1017,Jessica,Rodriguez,Jrodriguez,password18,jessica.rodriguez@example.com,666 Cedar Street,NIC321789,987321654,6/30/2024
1018,Robert,Lewis,Rlewis,password19,robert.lewis@example.com,777 Spruce Lane,NIC654321,123987456,7/01/2024
1019,Alyssa,Walker,Awalker,password20,alyssa.walker@example.com,888 Willow Avenue,NIC123456,456321789,7/02/2024
1020,James,Lee,Jlee,password21,james.lee@example.com,999 Maple Street,NIC789123,789654123,7/03/2024
1021,Olivia,Allen,Oallen,password22,olivia.allen@example.com,1010 Oak Avenue,NIC456789,321987456,7/04/2024
1022,Brandon,Young,Byoung,password23,brandon.young@example.com,2020 Pine Road,NIC987654,654789321,7/05/2024
1023,Emma,Hernandez,Ehernandez,password24,emma.hernandez@example.com,3030 Birch Lane,NIC321456,987654789,7/06/2024
1024,Ryan,King,Rking,password25,ryan.king@example.com,4040 Elm Street,NIC654123,123789456,7/07/2024
1025,Amy,Wright,Awright,password26,amy.wright@example.com,5050 Cedar Avenue,NIC987321,456987123,7/08/2024
